seed,organ,jamming,k,avoidance,reachability,safety
0,Heart,0,1,0.0,0.0,1.0
0,Heart,0,2,0.0,0.0,1.0
0,Heart,0,3,0.0,0.0,1.0
0,Heart,0,4,0.0,0.0,1.0
0,Heart,0,5,0.0,0.0,1.0
0,Heart,0,6,0.0,0.0,0.9999999968009601
0,Heart,0,7,0.0,0.0,0.9999999934093378
0,Heart,0,8,0.0,0.0,0.9999999866922106
0,Heart,0,9,0.0,0.0,0.9999999825935756
0,Heart,0,10,0.0,0.0,0.9999999756899955
0,Heart,0,11,6.095758372607538e-13,6.095758372607538e-13,0.9999999713742621
0,Heart,0,12,1.6616136959018215e-08,1.6616136959018215e-08,0.9999999646023331
0,Heart,0,13,0.0001509782608283266,0.0001509782608283266,0.9999999601340536
0,Heart,0,14,0.4573534741057483,0.4573534741057483,0.9999999534988872
0,Heart,0,15,0.6781797293071891,0.6781797293071891,0.9999999488999616
0,Heart,0,16,0.8209988340465367,0.8209988340465367,0.9999999423870517
0,Heart,0,17,0.8779950140282504,0.8779950140282504,0.9999999376730643
0,Heart,0,18,0.9032669408070506,0.9032669408070506,0.9999999312682603
0,Heart,0,19,0.9123846329372097,0.9123846329372097,0.9999999264526531
0,Heart,0,20,0.9234351833282402,0.9234351833282402,0.9999999201433585
0,Lungs,0,1,0.0,0.0,1.0
0,Lungs,0,2,0.0,0.0,1.0
0,Lungs,0,3,0.0,0.0,1.0
0,Lungs,0,4,0.0,0.0,1.0
0,Lungs,0,5,0.0,0.0,1.0
0,Lungs,0,6,0.0,0.0,0.9999999968009601
0,Lungs,0,7,0.0,0.0,0.9999999934093378
0,Lungs,0,8,0.0,0.0,0.9999999866922106
0,Lungs,0,9,0.0,0.0,0.9999999825935756
0,Lungs,0,10,0.0,0.0,0.9999999756899955
0,Lungs,0,11,5.3862120980636134e-05,5.3862120980636134e-05,0.9999999713742621
0,Lungs,0,12,0.49620066321478085,0.49620066321478085,0.9999999646023331
0,Lungs,0,13,0.6961368682724398,0.6961368682724398,0.9999999601340536
0,Lungs,0,14,0.8332662603284178,0.8332662603284178,0.9999999534988872
0,Lungs,0,15,0.882858102032554,0.882858102032554,0.9999999488999616
0,Lungs,0,16,0.9054975037643418,0.9054975037643418,0.9999999423870517
0,Lungs,0,17,0.9131933082722128,0.9131933082722128,0.9999999376730643
0,Lungs,0,18,0.925177486702246,0.925177486702246,0.9999999312682603
0,Lungs,0,19,0.9320066313788113,0.9320066313788113,0.9999999264526531
0,Lungs,0,20,0.9350730219232771,0.9350730219232771,0.9999999201433585
0,Liver,0,1,0.0,0.0,1.0
0,Liver,0,2,0.0,0.0,1.0
0,Liver,0,3,0.0,0.0,1.0
0,Liver,0,4,0.0,0.0,1.0
0,Liver,0,5,0.0,0.0,1.0
0,Liver,0,6,0.0,0.0,0.9999999968009601
0,Liver,0,7,0.0,0.0,0.9999999934093378
0,Liver,0,8,0.0,0.0,0.9999999866922106
0,Liver,0,9,0.0,0.0,0.9999999825935756
0,Liver,0,10,6.48483465438109e-13,6.48483465438109e-13,0.9999999756899955
0,Liver,0,11,1.7676674945473924e-08,1.7676674945473924e-08,0.9999999713742621
0,Liver,0,12,0.00016061408546421443,0.00016061408546421443,0.9999999646023331
0,Liver,0,13,0.4865385865183089,0.4865385865183089,0.9999999601340536
0,Liver,0,14,0.7015884099310867,0.7015884099310867,0.9999999534988872
0,Liver,0,15,0.8350110330183579,0.8350110330183579,0.9999999488999616
0,Liver,0,16,0.884943788251628,0.884943788251628,0.9999999423870517
0,Liver,0,17,0.9062874880657474,0.9062874880657474,0.9999999376730643
0,Liver,0,18,0.9136156514142826,0.9136156514142826,0.9999999312682603
0,Liver,0,19,0.9258367562751628,0.9258367562751628,0.9999999264526531
0,Liver,0,20,0.9324190229345022,0.9324190229345022,0.9999999201433585
0,Intestines,0,1,0.0,0.0,1.0
0,Intestines,0,2,0.0,0.0,1.0
