seed,organ,jamming,pmax_avoidance,pmax_reachability,pmax_safety,n_states,error
0,Heart,0,0.9451913161683905,0.9451913161683905,0.9999978370735544,144,
0,Lungs,0,0.945192334189819,0.945192334189819,0.9999978370735544,144,
0,Liver,0,0.943060311931919,0.943060311931919,0.9999978370735544,144,
0,Intestines,0,0.9430602997891561,0.9430602997891561,0.9999978370735544,144,
0,Pancreas,0,0.9430603143500991,0.9430603143500991,0.9999978370735544,144,
0,Kidneys,0,0.9451932812714031,0.9451932812714031,0.9999978370735544,144,
0,Heart,1,0.8862456635576522,0.8862456635576522,0.7619275650081407,288,
0,Lungs,1,0.8851874627778779,0.8851874627778779,0.7619275650081407,288,
0,Liver,1,0.8863985435465432,0.8863985435465432,0.7619275650081407,288,
0,Intestines,1,0.8882913922105423,0.8882913922105423,0.7619275650081407,288,
0,Pancreas,1,0.8888788919880807,0.8888788919880807,0.7619275650081407,288,
0,Kidneys,1,0.8832935577785243,0.8832935577785243,0.7619275650081407,288,
1,Heart,0,0.9016537151577714,0.9016537151577714,0.999999991580333,142,
1,Lungs,0,0.9016458742736502,0.9016458742736502,0.999999991580333,142,
1,Liver,0,0.9016537228133187,0.9016537228133187,0.999999991580333,142,
1,Intestines,0,0.9016537280631276,0.9016537280631276,0.999999991580333,142,
1,Pancreas,0,0.9016537222722284,0.9016537222722284,0.999999991580333,142,
1,Kidneys,0,0.9016537195768017,0.9016537195768017,0.999999991580333,142,
1,Heart,1,0.8137729524839563,0.8137729524839563,0.7614823209112408,280,
1,Lungs,1,0.8143865052938531,0.8143865052938531,0.7614823209112408,280,
1,Liver,1,0.8146609770373552,0.8146609770373552,0.7614823209112408,280,
1,Intestines,1,0.8145747383860477,0.8145747383860477,0.7614823209112408,280,
1,Pancreas,1,0.8165040734998288,0.8165040734998288,0.7614823209112408,280,
1,Kidneys,1,0.8156015884611792,0.8156015884611792,0.7614823209112408,280,
2,Heart,0,0.9795918367346939,0.9795918367346939,0.9795918367346939,144,
2,Lungs,0,0.9795918367346939,0.9795918367346939,0.9795918367346939,144,
2,Liver,0,0.9795918367346939,0.9795918367346939,0.9795918367346939,144,
2,Intestines,0,0.9795918367346939,0.9795918367346939,0.9795918367346939,144,
2,Pancreas,0,0.9795918367346939,0.9795918367346939,0.9795918367346939,144,
2,Kidneys,0,0.9795918367346939,0.9795918367346939,0.9795918367346939,144,
2,Heart,1,0.8660174006242067,0.8660174006242067,0.7451792529999257,284,
2,Lungs,1,0.8643273780379933,0.8643273780379933,0.7451792529999257,284,
2,Liver,1,0.8651830366931261,0.8651830366931261,0.7451792529999257,284,
2,Intestines,1,0.8641645339134413,0.8641645339134413,0.7451792529999257,284,
2,Pancreas,1,0.866181431074868,0.866181431074868,0.7451792529999257,284,
2,Kidneys,1,0.8633314917642132,0.8633314917642132,0.7451792529999257,284,
3,Heart,0,0.9787345816609346,0.9787345816609346,0.9999998688884892,144,
3,Lungs,0,0.9787345816609346,0.9787345816609346,0.9999998688884892,144,
3,Liver,0,0.9787345816609346,0.9787345816609346,0.9999998688884892,144,
3,Intestines,0,0.9787345816609346,0.9787345816609346,0.9999998688884892,144,
3,Pancreas,0,0.9787345816609346,0.9787345816609346,0.9999998688884892,144,
3,Kidneys,0,0.9787345816609346,0.9787345816609346,0.9999998688884892,144,
3,Heart,1,0.939530244290852,0.939530244290852,0.7614963094263818,280,
