seed,organ,jamming,k,avoidance,reachability,safety
0,Heart,0,1,0.0,0.0,1.0
0,Heart,0,2,0.0,0.0,0.9999999999999999
0,Heart,0,3,0.0,0.0,0.9999999999999997
0,Heart,0,4,0.0,0.0,0.9999999999999998
0,Heart,0,5,0.0,0.0,0.9999999999999997
0,Heart,0,6,0.0,0.0,0.9998935871334396
0,Heart,0,7,0.0,0.0,0.9997254335217014
0,Heart,0,8,0.0,0.0,0.9994273464111708
0,Heart,0,9,0.0,0.0,0.9990735293168453
0,Heart,0,10,0.0,0.0,0.9986393081476849
0,Heart,0,11,1.5166772157874198e-13,1.5166772157874198e-13,0.9981677637657238
0,Heart,0,12,1.0489564722362394e-10,1.0489564722362394e-10,0.9976537788562313
0,Heart,0,13,1.7694348503155502e-08,1.7694348503155502e-08,0.9971170303161472
0,Heart,0,14,2.711106737830078e-07,2.711106737830078e-07,0.9965583778929332
0,Heart,0,15,1.8357460575293343e-06,1.8357460575293343e-06,0.9959866277320802
0,Heart,0,16,7.72151636908451e-06,7.72151636908451e-06,0.9954035173740676
0,Heart,0,17,2.3839061215903196e-05,2.3839061215903196e-05,0.9948130839070778
0,Heart,0,18,5.956295147034765e-05,5.956295147034765e-05,0.9942166840151256
0,Heart,0,19,0.00012723107409851064,0.00012723107409851064,0.9936162405891739
0,Heart,0,20,0.00024088024942371759,0.00024088024942371759,0.993012622809225
0,Lungs,0,1,0.0,0.0,1.0
0,Lungs,0,2,0.0,0.0,0.9999999999999999
0,Lungs,0,3,0.0,0.0,0.9999999999999997
0,Lungs,0,4,0.0,0.0,0.9999999999999998
0,Lungs,0,5,0.0,0.0,0.9999999999999997
0,Lungs,0,6,0.0,0.0,0.9998935871334396
0,Lungs,0,7,0.0,0.0,0.9997254335217014
0,Lungs,0,8,0.0,0.0,0.9994273464111708
0,Lungs,0,9,0.0,0.0,0.9990735293168453
0,Lungs,0,10,0.0,0.0,0.9986393081476849
0,Lungs,0,11,6.152131210169585e-08,6.152131210169585e-08,0.9981677637657238
